date,l1_category,l1_category_id,l2_category,l2_category_id,store_id,variant_id,variant_name,group_id,selling_price,mrp,in_stock,inventory,is_sponsored,image_url,brand_id,brand
2025-07-25,Munchies,1237,Papad & Fryums,80,30320.0,25678.0,Haldiram's Punjabi Masala Papad,223853.0,65.0,65.0,True,11.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/db493b9b-80f1-4c41-9bbc-d60c9df5f66f.png,,Haldiram's
2025-07-25,Munchies,1237,Papad & Fryums,80,30320.0,481020.0,DNV Appalam Papad,538573.0,40.0,50.0,True,1.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/2332b248-a44c-42ed-97ec-f8e09e01afff.png,,DNV
2025-07-25,Munchies,1237,Papad & Fryums,80,30320.0,18925.0,Lijjat Punjabi Masala Papad,223837.0,89.0,89.0,True,2.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/c99ba260-93ab-4b1b-86cb-26896db62ac3.png,,Lijjat
2025-07-25,Munchies,1237,Papad & Fryums,80,30320.0,138835.0,Lijjat Plain Urad Dal Papad,1396473.0,77.0,77.0,True,11.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/4cba19d7-8a60-49c8-9598-669cb459cfd3.png,,Lijjat
2025-07-25,Munchies,1237,Papad & Fryums,80,30320.0,501328.0,Ramji Pani Puri Papad,677464.0,34.0,45.0,True,4.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/4084a9e5-08a8-4ffb-ac00-47cc808126e4.png,,Ramji
2025-07-25,Munchies,1237,Papad & Fryums,80,30320.0,41405.0,Haldiram's Medium Masala Papad,223884.0,65.0,65.0,True,8.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/3081369c-d4af-412e-b426-2965fcd58a63.png,,Haldiram's
2025-07-25,Munchies,1237,Papad & Fryums,80,30320.0,19927.0,Mother's Recipe Sabudana Papad,223843.0,34.0,34.0,True,9.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/b948bd84-3469-4a2f-b4a9-889f24202d79.png,,Mother's Recipe
2025-07-25,Munchies,1237,Papad & Fryums,80,30320.0,501327.0,Ramji Net Fryums,677419.0,58.0,80.0,True,4.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/d0923205-52a5-452a-b773-032aa2d14773.png,,Ramji
2025-07-25,Munchies,1237,Papad & Fryums,80,30320.0,500884.0,Ramji Mix Fryums,676478.0,58.0,80.0,True,2.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/fd942d4a-bacd-4811-bfd4-d1610792aefe.png,,Ramji
2025-07-25,Munchies,1237,Papad & Fryums,80,30320.0,18725.0,Mother's Recipe Potato Papad,223836.0,34.0,34.0,True,2.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/f1a47d18-bc40-4267-b3a9-daa57772e126.png,,Mother's Recipe
